timestep,x,y,yaw,velocity
0.000000,0.000000,0.000000,0.000000,0.000000
0.063985,0.000000,0.000000,0.000000,0.000000
0.127982,0.000000,0.000000,0.000000,0.000000
0.191988,0.000000,0.000000,0.000000,0.000000
0.255997,0.000000,0.000000,0.000000,0.000000
0.319998,0.000000,0.000000,0.000000,0.000000
0.383980,0.000000,0.000000,0.000000,0.000000
0.447980,0.000000,0.000000,0.000000,0.000000
0.511984,0.000000,0.000000,0.000000,0.000000
0.575995,0.000000,0.000000,0.000000,0.000000
0.639984,0.000000,0.000000,0.000000,0.000000
0.703992,0.000000,0.000000,0.000000,0.000000
0.767982,0.000000,0.000000,0.000000,0.000000
0.831982,0.000000,0.000000,0.000000,0.000000
0.895995,0.000000,0.000000,0.000000,0.000000
0.959977,0.000000,0.000000,0.000000,0.000000
1.023977,0.000000,0.000000,0.000000,0.000000
1.087977,0.000000,0.000000,0.000000,0.000000
1.151974,0.000000,0.000000,0.000000,0.000000
1.215990,0.000000,0.000000,0.000000,0.000000
1.279975,0.000000,0.000000,0.000000,0.000000
1.343975,0.000000,0.000000,0.000000,0.000000
1.407976,0.000000,0.000000,0.000000,0.000000
1.472084,0.000000,0.000000,0.000000,0.000000
1.536003,0.000000,0.000000,0.000000,0.000000
1.602196,0.000000,0.000000,0.000000,0.000000
1.663981,0.000000,0.000000,0.000000,0.000000
1.727980,0.000000,0.000000,0.000000,0.000000
1.791984,0.000000,0.000000,0.000000,0.000000
1.856196,0.003042,0.000000,0.000000,0.111822
1.919983,0.012843,0.000000,0.000000,0.210209
1.983983,0.027763,0.000000,0.000000,0.283660
2.051986,0.049929,0.000000,0.000000,0.346173
2.116187,0.075803,0.000000,0.000000,0.390623
2.179984,0.100112,0.000000,0.000000,0.418345
2.243984,0.125863,0.000000,0.000000,0.439042
2.307984,0.157246,0.000000,0.000000,0.456656
2.371981,0.184991,0.000000,0.000000,0.467642
2.436188,0.218071,0.000000,0.000000,0.476992
2.499982,0.246874,0.000000,0.000000,0.482824
2.563980,0.275980,0.000000,0.000000,0.487177
2.627982,0.310219,0.000000,0.000000,0.490882
2.691981,0.339745,0.000000,0.000000,0.493193
2.757428,0.374341,0.000000,0.000000,0.495160
2.819986,0.404089,0.000000,0.000000,0.496387
2.883984,0.433901,0.000000,0.000000,0.497303
2.947982,0.468741,0.000000,0.000000,0.498082
3.011988,0.498641,0.000000,0.000000,0.498568
3.076194,0.533557,0.000000,0.000000,0.498982
3.141190,0.563504,0.000000,0.000000,0.499240
3.204004,0.593464,0.000000,0.000000,0.499433
3.270205,0.628430,0.000000,0.000000,0.499597
3.331978,0.658409,0.000000,0.000000,0.499699
3.396170,0.693574,0.000000,0.000000,0.508639
3.459977,0.724422,0.000000,0.000000,0.519122
3.523976,0.755815,0.000000,0.000000,0.526948
3.587978,0.793062,0.000000,0.000000,0.541088
3.651978,0.826036,0.000000,0.000000,0.557287
3.716195,0.865570,0.000000,0.000000,0.573951
3.779978,0.900736,0.000000,0.000000,0.597155
3.847393,0.943267,0.000000,0.000000,0.616904
3.908108,0.980668,0.000000,0.000000,0.629221
3.972009,1.018710,0.000000,0.000000,0.638416
4.036438,1.063688,0.000000,0.000000,0.646242
4.100006,1.102616,0.000000,0.000000,0.651123
4.163994,1.141798,0.000000,0.000000,0.654767
4.228002,1.187746,0.000000,0.000000,0.657869
4.292177,1.227342,0.000000,0.000000,0.665981
4.358715,1.274666,0.000000,0.000000,0.685072
4.419991,1.316144,0.000000,0.000000,0.696979
4.488150,1.365718,0.000000,0.000000,0.722939
4.552001,1.409750,0.000000,0.000000,0.743803
4.616279,1.462472,0.000000,0.000000,0.761560
4.680010,1.508514,0.000000,0.000000,0.772635
4.744002,1.555132,0.000000,0.000000,0.780903
4.808133,1.610055,0.000000,0.000000,0.787940
4.872021,1.657469,0.000000,0.000000,0.792328
4.936258,1.713070,0.000000,0.000000,0.796064
5.000000,1.760907,0.000000,0.000000,0.798393
5.064243,1.808865,0.000000,0.000000,0.800132
5.128607,1.865005,0.000000,0.000000,0.809089
5.191988,1.914161,0.000000,0.000000,0.828527
5.256183,1.972769,0.000000,0.000000,0.845071
5.319983,2.024121,0.000000,0.000000,0.871073
5.379986,2.077208,0.000000,0.000000,0.897251
5.443983,2.131680,0.000000,0.000000,0.921428
5.507984,2.197785,0.000000,0.000000,0.964878
5.571988,2.256529,0.000000,0.000000,0.991977
5.636690,2.326820,0.000000,0.000000,1.015041
5.699988,2.388174,0.000000,0.000000,1.029425
5.763981,2.450277,0.000000,0.000000,1.040164
5.828522,2.523426,0.000000,0.000000,1.049304
5.891984,2.586564,0.000000,0.000000,1.055004
5.956189,2.660593,0.000000,0.000000,1.059856
6.019981,2.724280,0.000000,0.000000,1.062882
6.083999,2.788123,0.000000,0.000000,1.065141
6.149042,2.862754,0.000000,0.000000,1.067063
