timestep,x,y,yaw,velocity
2.267701,0.000000,0.000000,0.000000,0.000000
2.272065,0.000024,0.000000,0.000000,0.004755
2.275939,0.000024,0.000000,0.000000,0.004755
2.279749,0.000024,0.000000,0.000000,0.004755
2.283792,0.000189,0.000000,0.000000,0.028304
2.287745,0.000189,0.000000,0.000000,0.028304
2.292135,0.000584,0.000000,0.000000,0.050733
2.295750,0.000584,0.000000,0.000000,0.050733
2.299754,0.000584,0.000000,0.000000,0.050733
2.303913,0.001198,0.000000,0.000000,0.072096
2.307873,0.001198,0.000000,0.000000,0.072096
2.312125,0.002021,0.000000,0.000000,0.092443
2.315886,0.002021,0.000000,0.000000,0.092443
2.319873,0.002021,0.000000,0.000000,0.092443
2.323875,0.003042,0.000000,0.000000,0.111822
2.327857,0.003042,0.000000,0.000000,0.111822
2.331959,0.004253,0.000000,0.000000,0.130280
2.335780,0.004253,0.000000,0.000000,0.130280
2.339883,0.004253,0.000000,0.000000,0.130280
2.343960,0.005644,0.000000,0.000000,0.147860
2.347786,0.005644,0.000000,0.000000,0.147860
2.351967,0.007206,0.000000,0.000000,0.164604
2.355757,0.007206,0.000000,0.000000,0.164604
2.359858,0.007206,0.000000,0.000000,0.164604
2.363753,0.008932,0.000000,0.000000,0.180552
2.367756,0.008932,0.000000,0.000000,0.180552
2.372139,0.010813,0.000000,0.000000,0.195742
2.375841,0.010813,0.000000,0.000000,0.195742
2.379952,0.010813,0.000000,0.000000,0.195742
2.383916,0.012843,0.000000,0.000000,0.210209
2.387845,0.012843,0.000000,0.000000,0.210209
2.392134,0.015014,0.000000,0.000000,0.223989
2.395753,0.015014,0.000000,0.000000,0.223989
2.399750,0.015014,0.000000,0.000000,0.223989
2.403762,0.017319,0.000000,0.000000,0.237113
2.407762,0.017319,0.000000,0.000000,0.237113
2.412132,0.019753,0.000000,0.000000,0.249614
2.415968,0.019753,0.000000,0.000000,0.249614
2.419943,0.019753,0.000000,0.000000,0.249614
2.423889,0.022309,0.000000,0.000000,0.261519
2.427793,0.022309,0.000000,0.000000,0.261519
2.432200,0.024981,0.000000,0.000000,0.272859
2.435928,0.024981,0.000000,0.000000,0.272859
2.440004,0.024981,0.000000,0.000000,0.272859
2.444035,0.027763,0.000000,0.000000,0.283660
2.447950,0.027763,0.000000,0.000000,0.283660
2.452174,0.030651,0.000000,0.000000,0.293947
2.455793,0.030651,0.000000,0.000000,0.293947
2.459793,0.030651,0.000000,0.000000,0.293947
2.463835,0.033640,0.000000,0.000000,0.303745
2.467902,0.033640,0.000000,0.000000,0.303745
2.472160,0.036724,0.000000,0.000000,0.313077
2.475907,0.036724,0.000000,0.000000,0.313077
2.479908,0.036724,0.000000,0.000000,0.313077
2.483757,0.039899,0.000000,0.000000,0.321965
2.487755,0.039899,0.000000,0.000000,0.321965
2.491990,0.043161,0.000000,0.000000,0.330430
2.495935,0.043161,0.000000,0.000000,0.330430
2.499921,0.043161,0.000000,0.000000,0.330430
2.503750,0.046506,0.000000,0.000000,0.338493
2.507925,0.046506,0.000000,0.000000,0.338493
2.512140,0.049929,0.000000,0.000000,0.346173
2.515991,0.049929,0.000000,0.000000,0.346173
2.519886,0.049929,0.000000,0.000000,0.346173
2.523752,0.053427,0.000000,0.000000,0.353487
2.527899,0.053427,0.000000,0.000000,0.353487
2.532186,0.056997,0.000000,0.000000,0.360454
2.535750,0.056997,0.000000,0.000000,0.360454
2.539795,0.056997,0.000000,0.000000,0.360454
2.544043,0.060635,0.000000,0.000000,0.367090
2.547905,0.060635,0.000000,0.000000,0.367090
2.552094,0.064337,0.000000,0.000000,0.373409
2.555749,0.064337,0.000000,0.000000,0.373409
2.559919,0.064337,0.000000,0.000000,0.373409
2.563751,0.068101,0.000000,0.000000,0.379429
2.567749,0.068101,0.000000,0.000000,0.379429
2.572060,0.071924,0.000000,0.000000,0.385162
2.575908,0.071924,0.000000,0.000000,0.385162
2.579948,0.071924,0.000000,0.000000,0.385162
2.583902,0.075803,0.000000,0.000000,0.390623
2.587942,0.075803,0.000000,0.000000,0.390623
2.592172,0.079735,0.000000,0.000000,0.395823
2.595748,0.079735,0.000000,0.000000,0.395823
2.599914,0.079735,0.000000,0.000000,0.395823
2.604050,0.083718,0.000000,0.000000,0.400777
2.607752,0.083718,0.000000,0.000000,0.400777
2.612107,0.087750,0.000000,0.000000,0.405495
2.615909,0.087750,0.000000,0.000000,0.405495
2.619756,0.087750,0.000000,0.000000,0.405495
2.623907,0.091827,0.000000,0.000000,0.409989
2.627900,0.091827,0.000000,0.000000,0.409989
2.632141,0.095949,0.000000,0.000000,0.414269
2.635805,0.095949,0.000000,0.000000,0.414269
2.639977,0.095949,0.000000,0.000000,0.414269
2.643749,0.100112,0.000000,0.000000,0.418345
2.647753,0.100112,0.000000,0.000000,0.418345
2.652039,0.104315,0.000000,0.000000,0.422228
2.655758,0.104315,0.000000,0.000000,0.422228
2.660000,0.104315,0.000000,0.000000,0.422228
2.663984,0.108555,0.000000,0.000000,0.425926
2.667897,0.108555,0.000000,0.000000,0.425926
2.672136,0.112832,0.000000,0.000000,0.429448
2.675755,0.112832,0.000000,0.000000,0.429448
2.679758,0.112832,0.000000,0.000000,0.429448
2.683974,0.117143,0.000000,0.000000,0.432803
2.687781,0.117143,0.000000,0.000000,0.432803
2.692125,0.121487,0.000000,0.000000,0.435998
2.695932,0.121487,0.000000,0.000000,0.435998
2.699813,0.121487,0.000000,0.000000,0.435998
2.703817,0.125863,0.000000,0.000000,0.439042
2.707757,0.125863,0.000000,0.000000,0.439042
2.712095,0.130268,0.000000,0.000000,0.441940
2.715805,0.130268,0.000000,0.000000,0.441940
2.719940,0.130268,0.000000,0.000000,0.441940
2.723948,0.134701,0.000000,0.000000,0.444701
2.727758,0.134701,0.000000,0.000000,0.444701
2.732075,0.139161,0.000000,0.000000,0.447330
2.735854,0.139161,0.000000,0.000000,0.447330
2.739912,0.139161,0.000000,0.000000,0.447330
2.743905,0.143647,0.000000,0.000000,0.449835
2.747750,0.143647,0.000000,0.000000,0.449835
2.752122,0.148157,0.000000,0.000000,0.452220
2.755758,0.148157,0.000000,0.000000,0.452220
2.759757,0.148157,0.000000,0.000000,0.452220
2.763933,0.152691,0.000000,0.000000,0.454492
2.767749,0.152691,0.000000,0.000000,0.454492
2.771959,0.157246,0.000000,0.000000,0.456656
2.775757,0.157246,0.000000,0.000000,0.456656
2.779897,0.157246,0.000000,0.000000,0.456656
2.783872,0.161823,0.000000,0.000000,0.458717
2.787840,0.161823,0.000000,0.000000,0.458717
2.792115,0.166420,0.000000,0.000000,0.460680
2.795800,0.166420,0.000000,0.000000,0.460680
2.799907,0.166420,0.000000,0.000000,0.460680
2.803991,0.171036,0.000000,0.000000,0.462550
2.807816,0.171036,0.000000,0.000000,0.462550
2.811963,0.175671,0.000000,0.000000,0.464330
2.815914,0.175671,0.000000,0.000000,0.464330
2.819909,0.175671,0.000000,0.000000,0.464330
2.823804,0.180322,0.000000,0.000000,0.466026
2.827758,0.180322,0.000000,0.000000,0.466026
2.832254,0.184991,0.000000,0.000000,0.467642
2.835762,0.184991,0.000000,0.000000,0.467642
2.840105,0.184991,0.000000,0.000000,0.467642
2.843763,0.189675,0.000000,0.000000,0.469181
2.847786,0.189675,0.000000,0.000000,0.469181
2.851969,0.194374,0.000000,0.000000,0.470646
2.855738,0.194374,0.000000,0.000000,0.470646
2.859890,0.194374,0.000000,0.000000,0.470646
2.863933,0.199087,0.000000,0.000000,0.472042
2.867800,0.199087,0.000000,0.000000,0.472042
2.873073,0.203815,0.000000,0.000000,0.473371
2.875750,0.203815,0.000000,0.000000,0.473371
2.879971,0.203815,0.000000,0.000000,0.473371
2.883868,0.208555,0.000000,0.000000,0.474637
2.887916,0.208555,0.000000,0.000000,0.474637
2.892121,0.213307,0.000000,0.000000,0.475843
2.895909,0.213307,0.000000,0.000000,0.475843
2.899892,0.213307,0.000000,0.000000,0.475843
2.903919,0.218071,0.000000,0.000000,0.476992
2.907782,0.218071,0.000000,0.000000,0.476992
2.912170,0.222847,0.000000,0.000000,0.478086
2.915892,0.222847,0.000000,0.000000,0.478086
2.919758,0.222847,0.000000,0.000000,0.478086
2.923734,0.227633,0.000000,0.000000,0.479128
2.927899,0.227633,0.000000,0.000000,0.479128
2.932168,0.232429,0.000000,0.000000,0.480121
2.935820,0.232429,0.000000,0.000000,0.480121
2.939820,0.232429,0.000000,0.000000,0.480121
2.943939,0.237235,0.000000,0.000000,0.481066
2.947905,0.237235,0.000000,0.000000,0.481066
2.952119,0.242050,0.000000,0.000000,0.481966
2.955750,0.242050,0.000000,0.000000,0.481966
2.959929,0.242050,0.000000,0.000000,0.481966
2.963882,0.246874,0.000000,0.000000,0.482824
2.968374,0.246874,0.000000,0.000000,0.482824
2.972051,0.251706,0.000000,0.000000,0.483640
2.975847,0.251706,0.000000,0.000000,0.483640
2.979901,0.251706,0.000000,0.000000,0.483640
2.983748,0.256547,0.000000,0.000000,0.484418
2.987861,0.256547,0.000000,0.000000,0.484418
2.992233,0.261394,0.000000,0.000000,0.485159
2.995750,0.261394,0.000000,0.000000,0.485159
2.999749,0.261394,0.000000,0.000000,0.485159
3.003726,0.266250,0.000000,0.000000,0.485865
3.007733,0.266250,0.000000,0.000000,0.485865
3.012004,0.271112,0.000000,0.000000,0.486537
3.015748,0.271112,0.000000,0.000000,0.486537
3.019766,0.271112,0.000000,0.000000,0.486537
3.023734,0.275980,0.000000,0.000000,0.487177
3.027771,0.275980,0.000000,0.000000,0.487177
3.031953,0.280855,0.000000,0.000000,0.487787
3.035800,0.280855,0.000000,0.000000,0.487787
3.039768,0.280855,0.000000,0.000000,0.487787
3.043757,0.285736,0.000000,0.000000,0.488368
3.047760,0.285736,0.000000,0.000000,0.488368
3.052013,0.290622,0.000000,0.000000,0.488921
3.055740,0.290622,0.000000,0.000000,0.488921
3.059758,0.290622,0.000000,0.000000,0.488921
3.063865,0.295514,0.000000,0.000000,0.489448
3.067814,0.295514,0.000000,0.000000,0.489448
3.072037,0.300411,0.000000,0.000000,0.489949
3.075891,0.300411,0.000000,0.000000,0.489949
3.079761,0.300411,0.000000,0.000000,0.489949
3.083744,0.305313,0.000000,0.000000,0.490427
3.087767,0.305313,0.000000,0.000000,0.490427
3.092018,0.310219,0.000000,0.000000,0.490882
3.095739,0.310219,0.000000,0.000000,0.490882
3.099811,0.310219,0.000000,0.000000,0.490882
3.103759,0.315130,0.000000,0.000000,0.491316
3.107748,0.315130,0.000000,0.000000,0.491316
3.111964,0.320046,0.000000,0.000000,0.491729
3.115779,0.320046,0.000000,0.000000,0.491729
3.119784,0.320046,0.000000,0.000000,0.491729
3.123915,0.324965,0.000000,0.000000,0.492122
3.127828,0.324965,0.000000,0.000000,0.492122
3.131955,0.329888,0.000000,0.000000,0.492497
3.135800,0.329888,0.000000,0.000000,0.492497
3.139785,0.329888,0.000000,0.000000,0.492497
3.143733,0.334815,0.000000,0.000000,0.492854
3.147800,0.334815,0.000000,0.000000,0.492854
3.151997,0.339745,0.000000,0.000000,0.493193
3.155737,0.339745,0.000000,0.000000,0.493193
3.159759,0.339745,0.000000,0.000000,0.493193
3.163801,0.344679,0.000000,0.000000,0.493517
3.167766,0.344679,0.000000,0.000000,0.493517
3.172008,0.349615,0.000000,0.000000,0.493825
3.175752,0.349615,0.000000,0.000000,0.493825
3.179867,0.349615,0.000000,0.000000,0.493825
3.183729,0.354555,0.000000,0.000000,0.494119
3.187831,0.354555,0.000000,0.000000,0.494119
3.192003,0.359498,0.000000,0.000000,0.494399
3.195753,0.359498,0.000000,0.000000,0.494399
3.199776,0.359498,0.000000,0.000000,0.494399
3.203938,0.364443,0.000000,0.000000,0.494665
3.207748,0.364443,0.000000,0.000000,0.494665
3.212004,0.369391,0.000000,0.000000,0.494919
3.215876,0.369391,0.000000,0.000000,0.494919
3.219884,0.369391,0.000000,0.000000,0.494919
3.223881,0.374341,0.000000,0.000000,0.495160
3.227749,0.374341,0.000000,0.000000,0.495160
3.232108,0.379294,0.000000,0.000000,0.495390
3.235919,0.379294,0.000000,0.000000,0.495390
3.239914,0.379294,0.000000,0.000000,0.495390
3.243814,0.384249,0.000000,0.000000,0.495610
3.247844,0.384249,0.000000,0.000000,0.495610
3.252090,0.389206,0.000000,0.000000,0.495818
