timestep,x,y,yaw,velocity
2.267701,0.000000,0.000000,0.000000,0.000000
3.167766,0.344679,0.000000,0.000000,0.493517
4.072139,0.798363,0.000000,0.000000,0.499923
4.972018,1.248348,0.000000,0.000000,0.499999
5.875750,1.698348,0.000000,0.000000,0.500000
6.775877,2.148348,0.000000,0.000000,0.500000
7.675931,2.598348,0.000000,0.000000,0.500000
8.579777,3.048348,0.000000,0.000000,0.500000
9.479806,3.498348,0.000000,0.000000,0.500000
10.383905,3.953348,0.000000,0.000000,0.500000
11.283774,4.403348,0.000000,0.000000,0.500000
12.187751,4.853348,0.000000,0.000000,0.500000
13.087821,5.303348,0.000000,0.000000,0.500000
13.987749,5.753348,0.000000,0.000000,0.500000
14.891956,6.208348,0.000000,0.000000,0.500000
15.792030,6.658010,-0.008224,-0.124423,0.500000
16.695820,7.102774,-0.076636,-0.153827,0.500000
17.595810,7.547461,-0.145586,-0.153827,0.500000
18.495781,7.992147,-0.214535,-0.153827,0.500000
19.399895,8.438682,-0.262360,0.046612,0.500000
20.299929,8.870206,-0.147378,0.474199,0.500000
21.203762,9.261589,0.083567,0.666033,0.500000
22.103892,9.548828,0.426174,1.018503,0.500000
23.007875,9.751362,0.826042,1.285455,0.500000
23.907953,9.828579,1.269042,1.419380,0.500000
24.807927,9.891563,1.714483,1.515298,0.500000
25.712115,9.856943,2.167626,1.677729,0.500000
26.612159,9.808916,2.615055,1.677729,0.500000
27.515782,9.760888,3.062485,1.677729,0.500000
28.415857,9.733496,3.511012,1.552407,0.500000
29.315831,9.741770,3.960936,1.552407,0.500000
30.219747,9.750045,4.410860,1.552407,0.500000
31.119828,9.758319,4.860784,1.552407,0.500000
32.023882,9.766686,5.315707,1.552407,0.500000
32.923898,9.774960,5.765631,1.552407,0.500000
33.823895,9.783235,6.215554,1.552407,0.500000
34.727952,9.791509,6.665478,1.552407,0.500000
35.627794,9.799784,7.115402,1.552407,0.500000
36.532162,9.792531,7.569722,1.724340,0.500000
37.432045,9.666566,8.000579,2.011194,0.500000
38.335778,9.394814,8.354958,2.438781,0.500000
39.235952,9.000576,8.564743,2.866369,0.500000
40.135899,8.555469,8.626572,3.038301,0.500000
41.039964,8.107074,8.660776,3.125615,0.500000
41.940083,7.657131,8.667965,3.125615,0.500000
42.843747,7.202189,8.675235,3.125615,0.500000
43.743778,6.752247,8.682425,3.125615,0.500000
44.643973,6.302304,8.689614,3.125615,0.500000
45.547877,5.852362,8.696804,3.125615,0.500000
46.447753,5.402419,8.703994,3.125615,0.500000
47.352010,4.947477,8.711263,3.125615,0.500000
48.252068,4.497535,8.718453,3.125615,0.500000
49.155896,4.047592,8.725643,3.125615,0.500000
50.055823,3.597649,8.732832,3.125615,0.500000
50.955747,3.147707,8.740022,3.125615,0.500000
51.859766,2.697764,8.747212,3.125615,0.500000
52.759751,2.247822,8.754401,3.125615,0.500000
53.663936,1.792880,8.761671,3.125615,0.500000
54.563907,1.342937,8.768861,3.125615,0.500000
55.464037,0.892995,8.776050,3.125615,0.500000
56.367750,0.443052,8.783240,3.125615,0.500000
57.267914,-0.006890,8.790430,3.125615,0.500000
58.171993,-0.468190,8.797801,3.125615,0.537219
59.072050,-0.971916,8.805850,3.125615,0.596204
59.975793,-1.541987,8.814959,3.125615,0.662841
60.875747,-2.140322,8.824520,3.125615,0.665467
61.775884,-2.780996,8.834757,3.125615,0.730883
62.679877,-3.439521,8.845280,3.125615,0.732035
63.579823,-4.098279,8.855806,3.125615,0.732050
64.483738,-4.764359,8.866450,3.125615,0.732050
65.383754,-5.423120,8.876976,3.125615,0.732050
66.283744,-6.081881,8.887503,3.125615,0.732050
67.187946,-6.740642,8.898029,3.125615,0.732050
68.087852,-7.419643,8.908879,3.125615,0.797470
68.992355,-8.150753,8.920561,3.125615,0.805163
69.892056,-8.875371,8.932140,3.125615,0.805254
70.791991,-9.600008,8.943719,3.125615,0.805255
71.695781,-10.317003,8.955176,3.125615,0.728929
72.595761,-10.850748,8.963705,3.125615,0.528341
73.499760,-11.326183,8.971302,3.125615,0.528328
74.399749,-11.801617,8.978899,3.125615,0.528328
75.303965,-12.265548,8.878188,-2.836053,0.528328
76.203749,-12.716725,8.728275,-2.825037,0.528328
77.103889,-13.121765,8.488549,-2.541034,0.528328
78.007749,-13.451242,8.175364,-2.248871,0.431789
78.907896,-13.622487,7.869873,-1.914546,0.385151
79.812088,-13.711093,7.531238,-1.708220,0.385151
80.712113,-13.711234,7.185319,-1.513565,0.385151
81.611977,-13.691407,6.839251,-1.513565,0.385151
82.515766,-13.632545,6.498767,-1.299920,0.385151
83.416559,-13.539794,6.164771,-1.299920,0.385151
84.319907,-13.473123,5.824785,-1.396455,0.385151
85.219749,-13.397421,5.486984,-1.270643,0.385151
86.123744,-13.256998,5.167366,-0.995475,0.385151
87.023766,-13.024710,4.912069,-0.701344,0.385151
87.923894,-12.799617,4.650512,-1.024753,0.385151
88.827814,-12.691873,4.409446,-1.271911,0.001598
89.727889,-12.691850,4.409373,-1.271911,0.000000
90.632047,-12.691850,4.409373,-1.271911,0.000000
91.531950,-12.691850,4.409373,-1.271911,0.000000
